================ FULL SWEEP START Thu Jun 25 05:10:38 CDT 2026 ================
Sweep on power-transmission 1x1 | device mps | configs [(128, 3), (256, 4), (512, 4), (1024, 6), (2000, 10)]
saved logs/sweep_1x1_meta.txt
  sweep run     : 2026-06-25T05:10:44
  dataset       : power-transmission 1x1  (/Users/mkfqm/malof_lab/power_tx_data/dataset_1x1.npz)
  grid_n=1  channels=4  kernel K=3
  input_dim=4  output_dim=2001
  samples       : train=2044  val=511  test=451  (test_split=0.15)
  optim         : epochs=500 lr=0.0001 weight_decay=0.0001 batch=128 lr_decay=0.2 lr_patience=10
  device        : mps
  CONFIGS       : [(128, 3), (256, 4), (512, 4), (1024, 6), (2000, 10)]   (HIDDEN x N_HIDDEN)
  variants      : baseline (flat MLP) + neighbourhood (ScaleInvariantMetasurface)

========== config 128x3 ==========
---- baseline 128x3 ----
Trainable parameters: 296,563
Epoch  30 | train 0.005441 | val 0.003830 | lr 1.0e-04
Epoch  40 | train 0.005305 | val 0.003157 | lr 1.0e-04
Epoch  50 | train 0.003878 | val 0.002203 | lr 1.0e-04
Epoch  60 | train 0.003820 | val 0.001905 | lr 1.0e-04
Epoch  70 | train 0.003760 | val 0.001808 | lr 1.0e-04
Epoch  80 | train 0.002937 | val 0.001914 | lr 1.0e-04
Epoch  90 | train 0.003693 | val 0.001567 | lr 1.0e-04
Epoch 100 | train 0.003073 | val 0.001341 | lr 1.0e-04
Epoch 110 | train 0.002539 | val 0.001037 | lr 2.0e-05
Epoch 120 | train 0.002079 | val 0.000953 | lr 2.0e-05
Epoch 130 | train 0.002657 | val 0.000941 | lr 2.0e-05
Epoch 140 | train 0.003064 | val 0.001015 | lr 2.0e-05
Epoch 150 | train 0.002387 | val 0.000905 | lr 4.0e-06
Epoch 160 | train 0.002009 | val 0.000910 | lr 4.0e-06
Epoch 170 | train 0.003434 | val 0.000991 | lr 4.0e-06
Epoch 180 | train 0.002606 | val 0.000875 | lr 8.0e-07
Epoch 190 | train 0.002259 | val 0.000921 | lr 1.6e-07
Epoch 200 | train 0.002388 | val 0.000901 | lr 3.2e-08
Epoch 210 | train 0.002431 | val 0.000902 | lr 3.2e-08
Epoch 220 | train 0.002270 | val 0.000886 | lr 6.4e-09
Epoch 230 | train 0.002466 | val 0.000907 | lr 6.4e-09
Epoch 240 | train 0.002008 | val 0.000872 | lr 6.4e-09
Epoch 250 | train 0.002682 | val 0.000888 | lr 6.4e-09
Epoch 260 | train 0.002400 | val 0.000889 | lr 6.4e-09
Epoch 270 | train 0.002342 | val 0.000874 | lr 6.4e-09
Epoch 280 | train 0.002448 | val 0.000884 | lr 6.4e-09
Epoch 290 | train 0.002246 | val 0.000879 | lr 6.4e-09
Epoch 300 | train 0.002141 | val 0.000913 | lr 6.4e-09
Epoch 310 | train 0.002642 | val 0.000891 | lr 6.4e-09
Epoch 320 | train 0.001931 | val 0.000873 | lr 6.4e-09
Epoch 330 | train 0.002609 | val 0.000895 | lr 6.4e-09
Epoch 340 | train 0.002513 | val 0.000880 | lr 6.4e-09
Epoch 350 | train 0.002568 | val 0.000898 | lr 6.4e-09
Epoch 360 | train 0.003208 | val 0.000870 | lr 6.4e-09
Epoch 370 | train 0.003100 | val 0.000887 | lr 6.4e-09
Epoch 380 | train 0.002442 | val 0.000915 | lr 6.4e-09
Epoch 390 | train 0.002385 | val 0.000888 | lr 6.4e-09
Epoch 400 | train 0.002451 | val 0.000890 | lr 6.4e-09
Epoch 410 | train 0.002089 | val 0.000878 | lr 6.4e-09
Epoch 420 | train 0.002548 | val 0.000875 | lr 6.4e-09
Epoch 430 | train 0.002301 | val 0.000892 | lr 6.4e-09
Epoch 440 | train 0.001999 | val 0.000886 | lr 6.4e-09
Epoch 450 | train 0.002568 | val 0.000898 | lr 6.4e-09
Epoch 460 | train 0.002641 | val 0.000906 | lr 6.4e-09
Epoch 470 | train 0.002099 | val 0.000914 | lr 6.4e-09
Epoch 480 | train 0.002331 | val 0.000868 | lr 6.4e-09
Epoch 490 | train 0.001949 | val 0.000870 | lr 6.4e-09

Done in 9.9 min. Best val loss: 0.000868
Saved best checkpoint to: ckpts/sweep_1x1_neigh_512x4.pt
[512x4] baseline test 0.00166 (val 0.00161) | neigh test 0.00093 (val 0.00087)

========== config 1024x6 ==========
---- baseline 1024x6 ----
Trainable parameters: 7,320,435
Epoch   0 | train 0.416108 | val 0.318270 | lr 1.0e-04
Epoch  10 | train 0.008135 | val 0.006325 | lr 1.0e-04
Epoch  20 | train 0.004779 | val 0.002923 | lr 1.0e-04
Epoch  30 | train 0.003876 | val 0.002441 | lr 1.0e-04
Epoch  40 | train 0.003779 | val 0.001735 | lr 1.0e-04
Epoch  50 | train 0.003605 | val 0.001870 | lr 1.0e-04
Epoch  60 | train 0.003081 | val 0.002216 | lr 1.0e-04
Epoch  70 | train 0.003653 | val 0.000912 | lr 2.0e-05
Epoch  80 | train 0.002256 | val 0.000824 | lr 4.0e-06
Epoch  90 | train 0.002172 | val 0.000817 | lr 4.0e-06
Epoch 100 | train 0.002856 | val 0.000807 | lr 4.0e-06
Epoch 110 | train 0.002784 | val 0.000779 | lr 8.0e-07
Epoch 120 | train 0.002613 | val 0.000791 | lr 1.6e-07
Epoch 130 | train 0.002208 | val 0.000813 | lr 3.2e-08
Epoch 140 | train 0.002055 | val 0.000842 | lr 6.4e-09
Epoch 150 | train 0.002150 | val 0.000788 | lr 6.4e-09
Epoch 160 | train 0.002280 | val 0.000795 | lr 6.4e-09
Epoch 170 | train 0.001880 | val 0.000793 | lr 6.4e-09
Epoch 180 | train 0.002556 | val 0.000819 | lr 6.4e-09
Epoch 190 | train 0.002138 | val 0.000765 | lr 6.4e-09
Epoch 200 | train 0.002056 | val 0.000764 | lr 6.4e-09
Epoch 210 | train 0.002627 | val 0.000816 | lr 6.4e-09
Epoch 220 | train 0.001874 | val 0.000795 | lr 6.4e-09
Epoch 230 | train 0.002227 | val 0.000792 | lr 6.4e-09
Epoch 240 | train 0.002452 | val 0.000826 | lr 6.4e-09
Epoch 250 | train 0.002197 | val 0.000784 | lr 6.4e-09
Epoch 260 | train 0.002500 | val 0.000796 | lr 6.4e-09
Epoch 270 | train 0.001709 | val 0.000802 | lr 6.4e-09
Epoch 280 | train 0.002451 | val 0.000797 | lr 6.4e-09
Epoch 290 | train 0.002983 | val 0.000795 | lr 6.4e-09
Epoch 300 | train 0.002895 | val 0.000852 | lr 6.4e-09
Epoch 310 | train 0.002315 | val 0.000804 | lr 6.4e-09
Epoch 320 | train 0.002319 | val 0.000787 | lr 6.4e-09
Epoch 330 | train 0.002827 | val 0.000796 | lr 6.4e-09
Epoch 340 | train 0.002006 | val 0.000788 | lr 6.4e-09
Epoch 350 | train 0.002318 | val 0.000780 | lr 6.4e-09
Epoch 360 | train 0.001980 | val 0.000770 | lr 6.4e-09
Epoch 370 | train 0.002358 | val 0.000788 | lr 6.4e-09
Epoch 380 | train 0.002766 | val 0.000773 | lr 6.4e-09
Epoch 390 | train 0.002214 | val 0.000805 | lr 6.4e-09
Epoch 400 | train 0.002124 | val 0.000780 | lr 6.4e-09
Epoch 410 | train 0.002176 | val 0.000795 | lr 6.4e-09
Epoch 420 | train 0.001892 | val 0.000778 | lr 6.4e-09
Epoch 430 | train 0.002283 | val 0.000792 | lr 6.4e-09
Epoch 440 | train 0.002010 | val 0.000784 | lr 6.4e-09
Epoch 450 | train 0.002562 | val 0.000792 | lr 6.4e-09
Epoch 460 | train 0.002682 | val 0.000795 | lr 6.4e-09
Epoch 470 | train 0.001993 | val 0.000801 | lr 6.4e-09
Epoch 480 | train 0.002360 | val 0.000768 | lr 6.4e-09
Epoch 490 | train 0.002420 | val 0.000765 | lr 6.4e-09

Done in 18.2 min. Best val loss: 0.000764
Saved best checkpoint to: ckpts/sweep_1x1_baseline_1024x6.pt
